ID interno,Número da Nota Fiscal,série,Número de prestações,Data,Data de vencimento,Valor,Valor restante,Dias em débito,Nome,ID,Razão Social,CNPJ/CPF, Telefone,Representante de vendas,Prazo,Data de criação,Status,Tipo de Operação
590445,000060991,1,1,31/07/2025,30/08/2025,8406.64,.00,2,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,11 21324255,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
590447,000060993,1,1,31/07/2025,30/08/2025,5376.16,.00,2,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,11 21324255,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
590448,000060995,1,1,31/07/2025,30/08/2025,4203.32,.00,2,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,11 21324255,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
590457,000060994,1,1,31/07/2025,30/08/2025,5376.16,5376.16,259,CF5497 JULIANA SANTOS DOMINGOS,CF5497,JULIANA SANTOS DOMINGOS,90012178268,11943360767,,1x - Pagamento em 30 dias,09/06/2025 14:48,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
590456,000060990,1,1,31/07/2025,30/08/2025,5376.16,5376.16,259,CF3764 HORACIO B NETO,CF3764,HORACIO BERNARDES NETO,95607803872,11976545227,,1x - Pagamento em 30 dias,30/05/2023 15:37,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
590455,000060996,1,1,31/07/2025,30/08/2025,4203.32,4203.32,259,CF3669 DEBORAH MALKA KAMKHAGI SUPINO,CF3669,DEBORAH MALKA KAMKHAGI SUPINO,29913429862,113661-4362,,1x - Pagamento em 30 dias,18/04/2023 11:12,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
590458,000060992,1,1,31/07/2025,30/08/2025,8406.64,8406.64,259,CF3694 LUIS ANTONIO RIBEIRO TOREZAN,CF3694,LUIS ANTONIO RIBEIRO TOREZAN,09156530870,1198175-5337,,1x - Pagamento em 30 dias,28/04/2023 12:09,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
590560,000060997,1,1,31/07/2025,30/08/2025,32821.74,.00,2,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,11 21324255,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
590561,000060999,1,1,31/07/2025,30/08/2025,11269.44,.00,2,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,11 21324255,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
590562,000061001,1,1,31/07/2025,30/08/2025,4203.32,.00,2,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,11 21324255,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
590564,000061000,1,1,31/07/2025,30/08/2025,11269.44,11269.44,259,CF5555 CHRISTINE MOREIRA DE CARVALHO SILVA,CF5555,CHRISTINE MOREIRA DE CARVALHO SILVA,03386950795,21 96752-4141,,1x - Pagamento em 30 dias,04/07/2025 9:04,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
590565,000060998,1,1,31/07/2025,30/08/2025,32821.74,32821.74,259,CF5351 GRAZIELA APARECIDA IZAIAS DOS SANTOS,CF5351,GRAZIELA APARECIDA IZAIAS DOS SANTOS,31481483803,1199946-4791,,1x - Pagamento em 30 dias,10/04/2025 14:02,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
590566,000061002,1,1,31/07/2025,30/08/2025,4203.32,4203.32,259,CF5579 IONE MACEDO LACERDA,CF5579,IONE MACEDO LACERDA,00608642657,3499302-0880,,1x - Pagamento em 30 dias,14/07/2025 9:59,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
590567,000061003,1,1,31/07/2025,30/08/2025,8709.32,.00,2,CJ1364 SAO FRANCISCO VIDA - JACAREI - SP,CJ1364,ASSOCIACAO SAO FRANCISCO VIDA,14946109000120,1239559595,ANA CAROLINE DA SILVA XAVIER,1x - Pagamento em 30 dias,25/09/2020 16:54,Pago,500 - VENDA A NÃO CONTRIBUINTE
590568,000061004,1,1,31/07/2025,30/08/2025,7115.00,.00,2,CJ1429 HOSPITAL DONA HELENA - JOINVILLE - SC,CJ1429,ASSOCIAÇÃO BENEFICENTE EVANGÉLICA DE JOINVILLE,84694405000167,4734513502,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 30 e 60 dias,02/10/2020 12:14,Pago,500 - VENDA A NÃO CONTRIBUINTE
590568,000061004,1,2,31/07/2025,29/09/2025,7115.00,.00,0,CJ1429 HOSPITAL DONA HELENA - JOINVILLE - SC,CJ1429,ASSOCIAÇÃO BENEFICENTE EVANGÉLICA DE JOINVILLE,84694405000167,4734513502,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 30 e 60 dias,02/10/2020 12:14,Pago,500 - VENDA A NÃO CONTRIBUINTE
590571,000061005,1,1,31/07/2025,29/09/2025,10257.55,.00,11,CJ5146 HOSPITAL MINISTRO COSTA CAVALCANTI - FOZ DO IGUACU - PR,CJ5146,FUNDACAO DE SAUDE ITAIGUAPY,00304148000110,4535768000,Lucas Daniel Oliveira Chinarelli,1x - Pagamento em 60 dias,19/12/2024 11:02,Pago,500 - VENDA A NÃO CONTRIBUINTE
590579,000061006,1,1,31/07/2025,30/08/2025,11592.00,.00,2,CJ2882 UNIMED DE LONDRINA - PR,CJ2882,UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MEDICO,75222224000147,4333756214,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 28 e 56 dias,28/01/2022 9:31,Pago,500 - VENDA A NÃO CONTRIBUINTE
590579,000061006,1,2,31/07/2025,27/09/2025,11592.00,.00,2,CJ2882 UNIMED DE LONDRINA - PR,CJ2882,UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MEDICO,75222224000147,4333756214,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 28 e 56 dias,28/01/2022 9:31,Pago,500 - VENDA A NÃO CONTRIBUINTE
590607,000061009,1,1,31/07/2025,30/08/2025,13393.61,.00,2,CJ421 HOSPITAL VERA CRUZ - CAMPINAS - SP,CJ421,HOSPITAL VERA CRUZ SA,46009718000140,1937943221,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,11/08/2020 10:33,Pago,500 - VENDA A NÃO CONTRIBUINTE
590607,000061009,1,2,31/07/2025,29/09/2025,13393.61,.00,0,CJ421 HOSPITAL VERA CRUZ - CAMPINAS - SP,CJ421,HOSPITAL VERA CRUZ SA,46009718000140,1937943221,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,11/08/2020 10:33,Pago,500 - VENDA A NÃO CONTRIBUINTE
590610,000061010,1,1,31/07/2025,30/08/2025,2810.93,.00,2,CJ3132 UNIDADE ASSISTENCIAL UNIMED BARBACENA - MG,CJ3132,UNIMED BARBACENA COOPERATIVA DE TRABALHO MEDICO LTDA,25810946000578,,MATEUS AUGUSTO LEME CRISPIM,2x - Pagamento 30 e 45 dias,28/06/2022 9:29,Pago,500 - VENDA A NÃO CONTRIBUINTE
590610,000061010,1,2,31/07/2025,14/09/2025,2810.92,.00,1,CJ3132 UNIDADE ASSISTENCIAL UNIMED BARBACENA - MG,CJ3132,UNIMED BARBACENA COOPERATIVA DE TRABALHO MEDICO LTDA,25810946000578,,MATEUS AUGUSTO LEME CRISPIM,2x - Pagamento 30 e 45 dias,28/06/2022 9:29,Pago,500 - VENDA A NÃO CONTRIBUINTE
590615,000061007,1,1,31/07/2025,01/08/2025,67542.71,67542.71,288,CJ5619 GOVERNO DO ESTADO DE PERNAMBUCO - PE,CJ5619,ESTADO DE PERNAMBUCO,10571982000125,,NATHALIA RODRIGUES RAMOS MAINIER,1x - Pagamento em 1 dia,29/07/2025 10:05,Não pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
590645,000061011,1,1,31/07/2025,30/08/2025,1712.14,.00,2,CJ4384 UNIMED INCONFIDENTES - OURO PRETO - MG,CJ4384,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MEDICO LTDA,22720791000167,,MATEUS AUGUSTO LEME CRISPIM,1x - Pagamento em 30 dias,26/02/2024 17:04,Pago,500 - VENDA A NÃO CONTRIBUINTE
590646,000061012,1,1,31/07/2025,30/08/2025,3836.40,.00,2,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,CJ3228,UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MEDICO,45118429001279,,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,09/08/2022 16:07,Pago,500 - VENDA A NÃO CONTRIBUINTE
590646,000061012,1,2,31/07/2025,29/09/2025,3836.40,.00,0,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,CJ3228,UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MEDICO,45118429001279,,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,09/08/2022 16:07,Pago,500 - VENDA A NÃO CONTRIBUINTE
590654,000061013,1,1,31/07/2025,30/08/2025,2824.11,.00,2,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,CJ3228,UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MEDICO,45118429001279,,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,09/08/2022 16:07,Pago,500 - VENDA A NÃO CONTRIBUINTE
590654,000061013,1,2,31/07/2025,29/09/2025,2824.11,.00,0,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,CJ3228,UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MEDICO,45118429001279,,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,09/08/2022 16:07,Pago,500 - VENDA A NÃO CONTRIBUINTE
590656,000061014,1,1,31/07/2025,30/08/2025,1864.23,.00,2,CJ3866 HOSPITAL E MATERNIDADE UNIMED DE OURINHOS - SP,CJ3866,UNIMED DE OURINHOS COOPERATIVA DE TRABALHO MEDICO,51427540000359,,Vanusa Garcia Da Silva,"3x - Pagto em 30, 45 e 60 dias",28/06/2023 17:26,Pago,500 - VENDA A NÃO CONTRIBUINTE
590656,000061014,1,3,31/07/2025,29/09/2025,1864.24,.00,0,CJ3866 HOSPITAL E MATERNIDADE UNIMED DE OURINHOS - SP,CJ3866,UNIMED DE OURINHOS COOPERATIVA DE TRABALHO MEDICO,51427540000359,,Vanusa Garcia Da Silva,"3x - Pagto em 30, 45 e 60 dias",28/06/2023 17:26,Pago,500 - VENDA A NÃO CONTRIBUINTE
590656,000061014,1,2,31/07/2025,14/09/2025,1864.23,.00,1,CJ3866 HOSPITAL E MATERNIDADE UNIMED DE OURINHOS - SP,CJ3866,UNIMED DE OURINHOS COOPERATIVA DE TRABALHO MEDICO,51427540000359,,Vanusa Garcia Da Silva,"3x - Pagto em 30, 45 e 60 dias",28/06/2023 17:26,Pago,500 - VENDA A NÃO CONTRIBUINTE
